"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Lab","Homework","Quiz","overall","Grade"
"1",100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,100,"A+"
"2",85,95,100,95,95,95,100,100,100,12,92,89,90,95,58,75,72,83,100,98,92,88,"B+"
"3",88,100,85,70,100,98,0,80,0,7,83,56,50,0,57,55,71,61,20,78,63,64,"C-"
"4",92,100,100,100,96,99,100,92,95,12,67,89,65,65,70,58,87,64,100,98,74,84,"B"
"5",32,0,65,60,0,46,0,0,0,5,42,50,0,0,40,16,50,18,0,25,31,27,"F"
"6",75,85,92,95,100,91,0,0,90,9,92,94,0,75,74,71,92,79,60,79,87,81,"B-"
"7",90,100,98,95,80,80,52,90,90,12,92,50,75,90,78,69,98,76,100,90,86,89,"A-"
"8",92,95,100,90,100,72,95,74,100,12,83,44,60,65,52,64,65,71,100,93,69,79,"C+"
"9",82,85,92,70,100,0,84,90,95,12,92,100,70,95,80,74,100,82,100,87,96,91,"A"
"10",75,95,95,95,95,96,0,100,98,12,58,56,65,80,63,71,79,78,100,94,68,84,"B"
"11",0,78,0,15,0,70,80,80,58,11,67,28,35,15,22,50,27,56,100,48,43,50,"F"
"12",95,100,100,100,100,90,100,100,70,12,100,100,80,100,78,87,97,97,100,98,100,98,"A+"
"13",82,0,82,80,100,0,0,0,70,12,75,39,45,60,42,41,53,46,100,52,60,57,"D"
"14",80,92,88,100,100,69,52,80,75,12,100,83,68,100,70,68,88,76,100,86,94,86,"B"
"15",88,100,100,100,85,90,100,100,80,12,67,72,60,75,68,70,85,78,100,95,71,86,"B"
"16",50,0,68,50,0,78,42,82,80,11,33,56,70,85,40,37,50,41,100,56,70,58,"D"
"17",48,70,78,30,85,55,78,92,80,11,67,17,0,30,47,21,59,23,100,73,38,55,"D"
"18",78,85,100,100,95,93,82,90,95,12,75,56,70,65,59,69,74,77,100,92,70,82,"B-"
"19",65,92,92,0,95,80,74,80,80,12,83,50,65,70,64,68,80,76,100,82,73,80,"B-"
"20",52,75,85,90,86,99,70,100,0,8,67,78,25,50,62,62,77,69,40,82,65,71,"C"
"21",78,98,100,100,100,100,100,100,100,12,92,100,70,100,70,70,87,78,100,100,97,91,"A"
"22",95,78,95,100,100,87,100,90,100,12,100,94,70,95,64,77,80,86,100,96,96,91,"A"
"23",70,68,75,70,95,77,79,0,64,11,92,61,0,80,54,45,68,50,100,75,78,70,"C-"
"24",78,70,88,90,80,81,87,90,85,11,67,0,0,70,35,32,44,35,100,85,46,60,"D"
"25",72,72,85,80,90,93,100,100,100,12,92,89,70,95,65,81,81,90,100,90,92,90,"A-"
"26",80,80,85,60,92,71,48,64,95,12,33,22,40,25,39,43,49,48,100,78,33,60,"D"
"27",97,100,100,100,100,98,100,0,96,12,75,39,0,100,67,77,84,86,100,99,71,89,"A-"
"28",92,100,100,80,100,0,83,95,90,12,67,17,75,70,50,61,63,68,100,93,71,78,"C+"
"29",88,55,88,52,70,98,90,90,80,12,83,67,30,80,58,62,72,69,100,82,77,78,"C+"
"30",92,92,85,90,95,87,73,100,80,12,83,72,85,90,72,68,90,75,100,90,86,87,"B+"
"31",52,98,100,90,95,95,100,85,70,12,92,56,65,75,65,71,81,78,100,92,77,85,"B"
"32",86,94,95,100,95,90,77,60,98,10,67,61,65,85,63,64,79,72,80,92,72,80,"B-"
"33",88,85,100,100,100,99,100,100,94,12,100,89,90,100,79,67,99,74,100,98,97,92,"A"
"34",95,98,100,80,100,90,52,70,100,12,83,44,75,80,62,48,78,54,100,92,79,78,"C+"
"35",85,78,92,55,65,64,26,62,85,12,33,50,30,60,30,25,37,28,100,73,48,53,"D"
"36",88,100,100,70,95,100,78,90,80,12,67,44,40,90,62,35,78,39,100,91,67,73,"C"
"37",76,72,50,0,61,71,51,50,80,12,58,56,50,20,45,63,56,70,100,64,55,66,"C-"
"38",81,98,100,75,95,87,82,90,95,12,100,100,75,55,67,76,84,84,100,91,92,89,"A-"
"39",92,100,92,90,100,95,85,90,80,12,88,67,65,100,66,63,83,70,100,93,85,85,"B"
"40",88,100,92,90,95,91,90,95,100,11,83,67,82,85,72,81,90,90,100,94,84,91,"A"
"41",94,95,98,100,100,76,95,90,80,12,100,78,75,65,77,75,96,84,100,94,84,91,"A"
"42",75,82,100,100,90,88,84,88,100,12,92,89,70,90,77,76,96,85,100,92,90,92,"A"
"43",88,62,80,70,100,96,92,100,70,12,58,67,60,75,58,55,73,61,100,87,67,76,"C"
"44",90,90,72,90,100,97,100,95,100,12,83,61,65,65,55,41,69,46,100,95,71,74,"C"
"45",70,90,90,80,70,54,82,0,100,9,50,39,40,40,38,43,47,48,60,79,43,58,"D"
"46",95,85,90,50,56,86,92,75,55,12,88,78,45,75,42,27,53,30,100,79,80,64,"C-"
"47",82,100,98,90,91,99,97,100,100,12,92,89,90,100,67,74,84,82,100,97,94,90,"A-"
"48",95,100,100,90,95,99,97,80,100,12,100,94,90,95,70,83,88,92,100,97,96,94,"A"
"49",100,100,98,100,100,95,100,100,60,12,96,61,75,70,55,69,69,77,100,99,80,85,"B"
"50",68,100,100,90,95,90,100,90,100,12,100,78,70,100,71,84,89,93,100,96,93,94,"A"
"51",92,85,92,100,100,93,91,90,75,12,96,83,75,70,66,80,83,89,100,93,85,90,"A-"
"52",80,85,92,0,95,66,80,68,100,12,67,89,85,80,50,63,62,70,100,83,85,77,"C"
"53",0,78,100,80,100,90,80,0,65,12,88,94,75,85,34,69,43,77,100,74,89,73,"C"
"54",92,95,85,100,100,99,89,100,100,12,92,100,75,100,67,70,84,78,100,97,97,90,"A-"
"55",90,95,100,100,100,99,100,80,85,12,100,100,75,100,71,76,89,85,100,96,100,93,"A"
"56",88,78,98,90,97,96,90,80,80,12,96,0,55,80,56,61,70,68,100,90,77,79,"C+"
"57",92,100,100,100,95,99,94,99,95,12,75,100,85,95,70,77,88,86,100,98,93,92,"A"
"58",95,98,92,70,95,98,100,100,98,12,100,78,50,90,69,70,86,78,100,97,89,89,"A-"
"59",82,100,92,100,100,90,100,70,96,12,50,78,60,95,55,64,69,71,100,95,78,82,"B-"
"60",82,100,85,75,95,86,26,45,65,12,33,56,50,85,37,36,46,40,100,79,64,62,"C-"
"61",90,95,100,100,100,96,100,95,100,12,67,94,75,90,45,63,56,70,100,98,86,81,"B-"
"62",88,78,100,80,85,99,100,100,85,11,67,56,25,60,38,41,48,46,100,92,61,68,"C-"
"63",74,100,85,90,90,96,86,90,98,12,92,78,75,90,61,76,76,84,100,92,86,87,"B+"
"64",80,60,95,80,85,91,68,80,68,12,42,61,55,80,37,45,46,50,100,81,65,66,"C-"
"65",92,97,88,80,90,82,90,90,98,12,58,72,55,75,51,39,64,44,100,91,69,71,"C"
"66",80,95,90,80,98,94,73,90,85,12,58,67,57,100,65,64,81,72,100,89,75,82,"B-"
"67",92,95,100,100,95,98,70,100,100,12,92,61,60,90,66,73,83,82,100,98,81,89,"A-"
"68",92,100,100,90,100,93,89,80,60,12,83,78,55,80,66,64,82,71,100,93,80,84,"B"
"69",80,78,70,65,100,97,100,75,85,12,58,56,25,40,57,34,71,38,100,86,51,67,"C-"
"70",80,0,92,90,90,79,0,70,52,12,92,89,0,100,75,69,94,76,100,69,94,83,"B"
"71",0,10,48,0,90,0,56,40,75,7,54,28,30,80,43,32,54,35,20,40,55,42,"F"
"72",85,85,92,60,95,98,100,80,100,12,92,50,75,95,47,58,59,64,100,92,87,78,"C+"
"73",70,89,70,80,85,96,0,90,0,11,75,44,65,0,64,55,80,61,100,72,61,72,"C"
"74",85,98,100,85,75,97,97,95,85,12,25,44,35,65,49,36,61,40,100,93,48,67,"C-"
"75",94,100,85,100,100,98,90,100,96,12,75,61,80,80,78,72,98,80,100,97,78,90,"A-"
"76",62,65,32,28,0,79,79,75,94,12,92,33,25,55,44,55,55,61,100,64,60,64,"C-"
"77",85,70,85,95,100,88,88,100,85,12,75,100,90,100,47,66,59,73,100,91,97,82,"B-"
"78",92,100,100,100,100,100,100,95,100,12,92,89,80,80,59,71,74,79,100,99,87,87,"B+"
"79",92,100,100,100,95,90,100,95,85,12,100,89,80,80,76,74,95,82,100,97,90,92,"A"
"80",80,75,90,90,100,93,98,90,85,12,92,89,75,100,70,76,87,85,100,91,94,90,"A-"
"81",92,82,88,90,100,82,82,0,85,9,50,44,0,25,46,52,57,58,60,88,40,64,"C-"
"82",76,80,100,95,90,93,89,88,80,12,100,67,70,85,55,67,69,74,100,89,85,82,"B-"
"83",82,85,92,95,90,100,100,100,80,12,67,56,85,0,62,47,78,52,100,93,69,77,"C"
"84",78,62,98,80,0,83,100,75,70,11,67,44,70,80,67,69,84,77,100,81,72,81,"B-"
"85",78,100,100,100,100,99,92,100,98,12,92,100,90,100,76,86,95,95,100,99,97,97,"A+"
"86",88,85,92,80,100,99,0,100,75,12,100,100,60,100,75,70,94,78,100,90,100,90,"A-"
"87",68,95,82,95,60,79,89,100,85,12,83,83,68,95,77,82,96,91,100,87,87,91,"A"
"88",30,0,0,100,85,91,77,85,85,12,25,56,25,30,38,39,48,43,100,69,37,57,"D"
"89",92,100,100,0,100,100,0,100,100,12,92,100,100,100,64,78,80,87,100,87,100,89,"A-"
"90",82,0,95,100,95,99,100,100,100,9,75,72,80,95,70,76,88,84,60,96,83,86,"B"
"91",78,98,100,70,0,96,100,80,75,12,67,11,45,75,49,50,61,55,100,87,62,71,"C"
"92",80,75,0,68,78,87,100,82,90,11,83,83,90,90,58,73,72,81,100,82,88,82,"B-"
"93",0,85,80,75,100,78,0,90,0,12,92,39,75,0,58,37,73,42,100,64,69,65,"C-"
"94",88,85,92,85,95,91,92,90,90,12,92,50,0,85,64,66,80,73,100,90,76,83,"B"
"95",74,0,92,90,80,0,100,100,75,12,83,72,65,95,70,66,88,73,100,76,84,81,"B-"
"96",79,95,92,65,72,91,100,0,76,11,33,78,95,95,59,76,74,84,100,84,89,84,"B"
"97",0,0,0,42,0,0,0,0,0,10,58,0,0,0,42,36,53,39,80,5,19,33,"F"
"98",100,98,100,90,100,99,100,100,100,12,100,78,90,95,70,85,87,94,100,100,95,95,"A"
"99",92,95,100,0,100,93,90,85,100,12,83,100,70,80,66,81,82,90,100,94,88,90,"A-"
"100",96,98,100,0,100,89,97,100,99,12,100,67,80,95,74,78,92,87,100,97,92,93,"A"
"101",45,78,68,70,90,71,89,90,85,12,33,72,48,70,58,64,72,71,100,80,63,76,"C"
"102",0,85,85,68,90,88,96,75,95,12,58,67,50,0,49,41,61,46,100,85,58,68,"C-"
"103",85,92,100,100,95,90,100,98,100,12,100,78,75,60,62,61,78,68,100,97,84,84,"B"
"104",82,70,100,65,97,71,78,85,85,11,75,39,55,80,70,56,88,62,100,84,70,79,"C+"
"105",92,92,100,80,95,97,97,95,80,12,83,56,75,90,58,55,72,61,100,94,83,80,"B-"
